SSN,FullName,age,driver_license,gender,race,height,pweight,glucose,high_blood_pressure,low_blood_pressure,BMI,active_medication
999-10-1679,Hue920 Huel628,28,S99952649,female,White,163.8037109375,54.0963134765625,0.0,134.31990051269528,78.30586242675781,20.161376953125,Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet
999-10-1756,Gaston250 Ratke343,43,S99948647,male,White,178.6358642578125,97.57807159423828,72.35166931152344,136.83486938476562,75.51754760742188,30.57840919494629,ferrous sulfate 325 MG Oral Tablet
999-10-2029,Antonia30 Kilback373,65,S99976831,female,Other,162.1188201904297,68.59741973876953,95.11788177490234,105.65959167480469,85.9529800415039,26.10002326965332,Simvistatin 10 MG
999-10-2594,Audrie782 Metz686,101,S99967535,female,Black or African American,164.0502471923828,80.5507583618164,86.29084014892578,130.96525573730472,81.89615631103516,29.930625915527344,Simvistatin 10 MG
999-10-2971,Sean831 Luettgen772,35,S99962261,male,White,168.89540100097656,79.3327865600586,0.0,125.37850189208984,70.87266540527344,27.81102752685547,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector
999-10-3411,George991 Dibbert990,21,S99990948,male,American Indian or Alaska Native,177.96649169921875,67.13652038574219,0.0,130.61154174804688,75.4569320678711,21.197389602661133,none
999-10-3877,Matha641 Jones311,52,S99952646,female,White,152.7526397705078,68.1624755859375,96.62409210205078,103.69165802001952,83.69342803955078,29.21244812011719,Liletta 52 MG Intrauterine System
999-10-4618,Adolfo777 O'Keefe54,20,S99915496,male,White,177.50938415527344,59.34782028198242,0.0,121.61957550048828,78.76685333251953,18.834850311279297,none
999-10-4658,Hershel911 Moen819,29,S99927305,male,White,186.1870574951172,67.52121734619139,85.42631530761719,131.33805847167972,77.2412109375,19.477861404418945,none
999-10-6535,Eusebio566 Pfannerstill264,28,S99953960,male,White,180.49737548828125,72.0008773803711,0.0,106.49040985107422,77.54429626464844,22.100191116333008,none
999-10-6646,Helga481 Turcotte120,42,S99951496,female,White,166.3978729248047,74.48664855957031,0.0,124.9485855102539,85.06526184082031,26.901893615722656,Hydrochlorothiazide 25 MG
999-10-7050,Carmelita854 Russel238,57,S99981548,female,White,158.64601135253906,68.518310546875,78.35906219482422,102.38290405273438,79.21759033203125,27.223772048950195,none
999-10-7362,Kaylene27 Beer512,5,none,female,White,84.9549331665039,14.51695156097412,0.0,119.29769897460938,74.53478240966797,0.0,none
999-10-7559,Jackelyn13 Stracke611,107,S99978628,female,White,166.84661865234375,78.5125961303711,89.16697692871094,130.09217834472656,83.91230010986328,28.203598022460934,10 ML Furosemide 10 MG/ML Injection
999-10-9316,Jewel43 Christiansen251,4,none,male,White,65.05153656005861,9.068946838378906,0.0,114.07112121582031,82.02001953125,0.0,none
999-10-9732,Lorenzo669 Ankunding277,39,S99916475,male,White,175.49087524414062,92.80437469482422,0.0,186.9420166015625,112.02469635009766,30.13418197631836,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG
999-10-9770,Carola944 Roberts511,75,S99970919,female,White,157.58416748046875,68.22225952148439,94.38565063476562,119.4855499267578,85.48336791992188,27.472671508789066,Alendronic acid 10 MG Oral Tablet
999-10-9874,Andre610 Grimes165,7,none,female,White,97.70330047607422,14.098104476928713,0.0,115.43986511230469,86.0534896850586,14.76870059967041,none
999-10-9993,Monte325 McClure239,47,S99985421,male,White,177.97117614746094,94.83303833007812,109.89852905273438,116.13274383544922,78.72380828857422,29.94058609008789,"insulin human, isophane 70 UNT/ML / Regular Insulin, Human 30 UNT/ML Injectable Suspension [Humulin]"
999-11-2153,Brooke250 Roob72,63,S99982650,female,White,161.30645751953125,72.57233428955078,73.16224670410156,123.1807861328125,83.30181121826172,27.89122200012207,Simvistatin 10 MG
999-11-2173,Amanda238 Dach178,32,S99920100,female,Asian,164.67962646484375,75.25894165039062,0.0,183.14279174804688,104.37939453125,27.750978469848636,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG
999-11-3551,Harlan808 Murazik203,14,none,male,White,136.84054565429688,44.88209915161133,0.0,114.260498046875,80.18915557861328,23.96865081787109,none
999-11-3562,Ronna740 Huel628,37,S99937969,female,Other,155.01441955566406,67.92231750488281,0.0,113.28184509277344,72.69027709960938,28.26625823974609,Liletta 52 MG Intrauterine System
999-11-3750,Asa127 Flatley871,45,S99961982,male,White,183.34153747558597,102.3511962890625,0.0,123.79497528076172,88.53640747070312,30.448869705200195,none
999-11-3801,Lyndia317 Doyle959,41,S99932452,female,White,163.82345581054688,76.71957397460938,109.8078155517578,184.72103881835938,98.5245590209961,28.58604431152344,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG
999-11-3957,Chung121 Koch169,35,S99924531,female,White,161.77297973632812,72.92474365234375,0.0,134.66282653808594,87.4041519165039,27.86524772644043,Methotrexate 10 MG Oral Tablet
999-11-4067,Season349 Kulas532,62,S99943125,female,White,156.68017578125,68.27088928222656,100.20005798339844,115.90404510498048,79.54328918457031,27.810415267944336,Simvistatin 10 MG
999-11-5206,Eneida722 Harvey63,11,none,female,White,116.66641235351562,24.996784210205078,0.0,104.42990112304688,84.016357421875,18.36506462097168,none
999-11-6600,Georgina806 Schiller186,14,none,female,Asian,134.81146240234378,30.408390045166016,0.0,125.4600601196289,76.54067993164062,16.731691360473633,none
